Collection,Variety,Twig,Total_Buds,Measurement_day,Buds_51_stage_BBCH,Chill_Portions
23/10/2020,Early_Red_2021,1,21,31/10/2020,0,0
23/10/2020,Early_Red_2021,2,14,31/10/2020,0,0
23/10/2020,Early_Red_2021,3,45,31/10/2020,0,0
23/10/2020,Regina_2021,1,35,31/10/2020,0,0
23/10/2020,Regina_2021,2,54,31/10/2020,0,0
23/10/2020,Regina_2021,3,20,31/10/2020,0,0
23/10/2020,Tamara_2021,1,27,31/10/2020,0,0
23/10/2020,Tamara_2021,2,21,31/10/2020,0,0
23/10/2020,Tamara_2021,3,28,31/10/2020,0,0
06/11/2020,Early_Red_2021,1,14,14/11/2020,0,4.190346053
06/11/2020,Early_Red_2021,2,18,14/11/2020,0,4.190346053
06/11/2020,Early_Red_2021,3,21,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,1,46,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,2,52,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,3,25,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,1,18,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,2,12,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,3,11,14/11/2020,0,4.190346053
17/11/2020,Early_Red_2021,1,22,25/11/2020,0,11.44518471
17/11/2020,Early_Red_2021,2,14,25/11/2020,0,11.44518471
17/11/2020,Early_Red_2021,3,31,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,1,27,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,2,20,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,3,22,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,1,14,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,2,16,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,3,13,25/11/2020,0,11.44518471
26/11/2020,Early_Red_2021,1,46,04/12/2020,0,17.55328616
26/11/2020,Early_Red_2021,2,27,04/12/2020,0,17.55328616
26/11/2020,Early_Red_2021,3,37,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,1,30,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,2,37,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,3,34,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,1,34,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,2,39,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,3,21,04/12/2020,0,17.55328616
04/12/2020,Early_Red_2021,1,26,14/12/2020,4,24.01334376
04/12/2020,Early_Red_2021,2,50,14/12/2020,3,24.01334376
04/12/2020,Early_Red_2021,3,25,14/12/2020,3,24.01334376
04/12/2020,Early_Red_2021,4,30,14/12/2020,2,24.01334376
04/12/2020,Regina_2021,1,56,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,2,38,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,3,63,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,4,43,14/12/2020,0,24.01334376
04/12/2020,Tamara_2021,1,40,14/12/2020,6,24.01334376
04/12/2020,Tamara_2021,2,31,14/12/2020,6,24.01334376
04/12/2020,Tamara_2021,3,28,14/12/2020,5,24.01334376
04/12/2020,Tamara_2021,4,40,14/12/2020,4,24.01334376
18/12/2020,Early_Red_2021,1,25,28/12/2020,21,34.19312821
18/12/2020,Early_Red_2021,2,24,28/12/2020,24,34.19312821
18/12/2020,Early_Red_2021,3,24,28/12/2020,20,34.19312821
18/12/2020,Early_Red_2021,4,47,28/12/2020,40,34.19312821
18/12/2020,Regina_2021,2,59,28/12/2020,6,34.19312821
18/12/2020,Regina_2021,3,15,28/12/2020,0,34.19312821
18/12/2020,Regina_2021,4,22,28/12/2020,3,34.19312821
18/12/2020,Tamara_2021,1,54,28/12/2020,18,34.19312821
18/12/2020,Tamara_2021,2,37,28/12/2020,13,34.19312821
18/12/2020,Tamara_2021,3,45,28/12/2020,18,34.19312821
18/12/2020,Tamara_2021,4,39,28/12/2020,17,34.19312821
05/01/2021,Early_Red_2021,1,55,13/01/2021,55,45.79730665
05/01/2021,Early_Red_2021,2,53,13/01/2021,53,45.79730665
05/01/2021,Early_Red_2021,3,45,13/01/2021,45,45.79730665
05/01/2021,Early_Red_2021,4,63,13/01/2021,61,45.79730665
05/01/2021,Regina_2021,1,57,13/01/2021,50,45.79730665
05/01/2021,Regina_2021,2,88,13/01/2021,23,45.79730665
05/01/2021,Regina_2021,3,57,13/01/2021,21,45.79730665
05/01/2021,Regina_2021,4,73,13/01/2021,18,45.79730665
05/01/2021,Tamara_2021,1,66,13/01/2021,20,45.79730665
05/01/2021,Tamara_2021,2,63,13/01/2021,55,45.79730665
05/01/2021,Tamara_2021,3,47,13/01/2021,37,45.79730665
05/01/2021,Tamara_2021,4,56,13/01/2021,47,45.79730665
15/01/2021,Early_Red_2021,1,59,27/01/2021,59,51.28871856
15/01/2021,Early_Red_2021,2,59,27/01/2021,59,51.28871856
15/01/2021,Early_Red_2021,3,45,27/01/2021,45,51.28871856
15/01/2021,Early_Red_2021,4,57,27/01/2021,55,51.28871856
15/01/2021,Regina_2021,1,64,27/01/2021,21,51.28871856
15/01/2021,Regina_2021,2,70,27/01/2021,33,51.28871856
15/01/2021,Regina_2021,3,42,27/01/2021,17,51.28871856
15/01/2021,Regina_2021,4,82,27/01/2021,39,51.28871856
15/01/2021,Tamara_2021,1,43,27/01/2021,29,51.28871856
15/01/2021,Tamara_2021,2,60,27/01/2021,50,51.28871856
15/01/2021,Tamara_2021,3,64,27/01/2021,61,51.28871856
15/01/2021,Tamara_2021,4,64,27/01/2021,55,51.28871856
22/01/2021,Early_Red_2021,1,74,02/02/2021,74,57.01403361
22/01/2021,Early_Red_2021,2,56,02/02/2021,56,57.01403361
22/01/2021,Early_Red_2021,3,46,02/02/2021,42,57.01403361
22/01/2021,Early_Red_2021,4,61,02/02/2021,61,57.01403361
22/01/2021,Regina_2021,1,57,02/02/2021,21,57.01403361
22/01/2021,Regina_2021,2,47,02/02/2021,34,57.01403361
22/01/2021,Regina_2021,3,39,02/02/2021,22,57.01403361
22/01/2021,Regina_2021,4,47,02/02/2021,32,57.01403361
